"","Site","Species","n","DDLat","DDLong"
"1",3,"LMB",1,34.01807257,-85.92402852
"2",25,"LMB",2,34.01063806,-85.95522414
"3",49,"LMB",1,33.92832637,-85.98369413
"4",52,"LMB",2,33.94287632,-86.01391303
"5",56,"LMB",2,33.93525302,-86.0319258
"6",64,"LMB",4,33.89083695,-86.06408546
"7",72,"ALB",3,33.86547084,-86.06186689
"8",72,"LMB",1,33.86547084,-86.06186689
"9",84,"LMB",6,33.81326834,-86.03991357
"10",89,"ALB",6,33.79294474,-86.05583841
"11",91,"ALB",23,33.78712945,-86.05288195
"12",91,"LMB",4,33.78712945,-86.05288195
"13",98,"LMB",4,33.79642056,-86.06634637
"14",98,"ALB",5,33.79642056,-86.06634637
"15",104,"LMB",9,33.8063268,-86.10240601
"16",113,"ALB",1,33.83884119,-86.08613845
"17",113,"LMB",9,33.83884119,-86.08613845
"18",152,"ALB",2,33.86716819,-86.0897003
"19",152,"LMB",9,33.86716819,-86.0897003
"20",159,"ALB",1,33.89796963,-86.07467808
"21",198,"ALB",19,33.99031712,-86.00200125
"22",198,"LMB",4,33.99031712,-86.00200125
"23",206,"ALB",2,34.01282815,-85.96748074
"24",206,"LMB",7,34.01282815,-85.96748074
"25",210,"LMB",8,34.02598688,-85.94707751
