"","Species","TagLat","TagLong","Site","n"
"1","ALB",33.78712945,-86.05288195,91,5
"2","ALB",33.78956151,-86.0677914,97,3
"3","ALB",33.79115824,-86.08377878,95,2
"4","ALB",33.79135072,-86.07857039,96,1
"5","ALB",33.79642056,-86.06634637,98,1
"6","ALB",33.79843895,-86.05704445,88,5
"7","ALB",33.79982434,-86.07441521,99,2
"8","ALB",33.80626246,-86.06637535,101,7
"9","ALB",33.81326834,-86.03991357,84,1
"10","ALB",33.82597368,-86.04563492,80,1
"11","ALB",33.83680058,-86.05161749,77,1
"12","ALB",33.84068838,-86.06346255,76,2
"13","ALB",33.84618237,-86.06321613,119,1
"14","ALB",33.8473324,-86.05024701,75,2
"15","ALB",33.85119626,-86.06214484,120,1
"16","ALB",33.85866878,-86.10396585,128,1
"17","ALB",33.8590745,-86.04381273,74,4
"18","ALB",33.86006546,-86.08628868,123,4
"19","ALB",33.86473746,-86.07221174,122,4
"20","ALB",33.87898657,-86.0409414,70,2
"21","ALB",33.89994097,-86.1306918,137,1
"22","ALB",33.90062846,-86.11833636,136,1
"23","ALB",33.94047631,-85.99128436,168,2
"24","ALB",33.95273164,-85.95827413,42,1
"25","ALB",33.9743654,-85.99532949,180,1
"26","ALB",33.98761449,-85.8981915,12,1
"27","ALB",33.99031712,-86.00200125,198,3
"28","ALB",33.9918068,-86.01125551,197,3
"29","ALB",33.99519941,-86.00106921,199,1
"30","ALB",33.99581705,-85.99383139,33,2
"31","ALB",33.99961511,-85.88293573,10,1
"32","ALB",34.00530715,-85.9992684,31,1
"33","ALB",34.00596444,-85.90323052,6,2
"34","ALB",34.01054997,-85.96464629,27,2
"35","ALB",34.01145924,-85.91107092,14,1
"36","ALB",34.01375566,-85.95563762,207,1
"37","ALB",34.01628551,-85.94557137,1,1
"38","LMB",33.78712945,-86.05288195,91,3
"39","LMB",33.79642056,-86.06634637,98,1
"40","LMB",33.79843895,-86.05704445,88,2
"41","LMB",33.79982434,-86.07441521,99,1
"42","LMB",33.81577185,-86.09011654,106,2
"43","LMB",33.8473324,-86.05024701,75,1
"44","LMB",33.85683154,-86.10149534,124,3
"45","LMB",33.85859905,-86.05218741,73,2
"46","LMB",33.85866878,-86.10396585,128,2
"47","LMB",33.8590745,-86.04381273,74,1
"48","LMB",33.86006546,-86.08628868,123,1
"49","LMB",33.87195876,-86.05455109,71,1
"50","LMB",33.87654408,-86.05811814,157,1
"51","LMB",33.87898657,-86.0409414,70,2
"52","LMB",33.88418897,-86.05015104,66,1
"53","LMB",33.92074898,-86.05445562,59,2
"54","LMB",33.93310833,-86.0304162,57,3
"55","LMB",33.93360177,-85.95417948,47,2
"56","LMB",33.93405915,-85.99320838,50,1
"57","LMB",33.93508195,-85.98240997,169,2
"58","LMB",33.94047631,-85.99128436,168,1
"59","LMB",33.94785554,-86.00372858,167,1
"60","LMB",33.94844029,-85.95134739,45,2
"61","LMB",33.94967998,-85.95514884,43,1
"62","LMB",33.95273164,-85.95827413,42,4
"63","LMB",33.957415,-85.96939755,177,1
"64","LMB",33.95791902,-85.96367204,41,2
"65","LMB",33.96154529,-85.97634604,178,1
"66","LMB",33.96399742,-85.97012871,38,2
"67","LMB",33.966921,-85.96429853,39,2
"68","LMB",33.97008002,-85.98417974,36,2
"69","LMB",33.97308528,-85.97917557,37,1
"70","LMB",33.9743654,-85.99532949,180,1
"71","LMB",33.97663461,-86.02932492,189,1
"72","LMB",33.98558586,-86.01840626,193,3
"73","LMB",33.99031712,-86.00200125,198,1
"74","LMB",33.9918068,-86.01125551,197,2
"75","LMB",33.99501705,-85.99977852,32,1
"76","LMB",33.99581705,-85.99383139,33,2
"77","LMB",33.99961511,-85.88293573,10,1
"78","LMB",34.00530715,-85.9992684,31,3
"79","LMB",34.00596444,-85.90323052,6,1
"80","LMB",34.01572051,-85.94111653,21,2
"81","LMB",34.02306565,-85.98013362,203,3
